Cl-Cl,,Rb-Cl,,Rb-Rb,
1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000
1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000
1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000
1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000
1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000
1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000
1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000
1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000
1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000
1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000
2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000
2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000
2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000000000
2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,0.000000000
2.493750000,0.000000000,2.493750000,0.001685377,2.493750000,0.000000000
2.546250000,0.000000000,2.546250000,0.004647712,2.546250000,0.000000000
2.598750000,0.000000000,2.598750000,0.024637056,2.598750000,0.000000000
2.651250000,0.000000000,2.651250000,0.081637072,2.651250000,0.000000000
2.703750000,0.000000000,2.703750000,0.202516585,2.703750000,0.000000000
2.756250000,0.000000000,2.756250000,0.440107924,2.756250000,0.000000000
2.808750000,0.000335243,2.808750000,0.784512623,2.808750000,0.000000000
2.861250000,0.000646108,2.861250000,1.302015055,2.861250000,0.000323054
2.913750000,0.001246070,2.913750000,1.807972842,2.913750000,0.002180623
2.966250000,0.002404706,2.966250000,2.359211389,2.966250000,0.003306471
3.018750000,0.009287175,3.018750000,2.847909416,3.018750000,0.009287175
3.071250000,0.013458579,3.071250000,3.220012688,3.071250000,0.013458579
3.123750000,0.018701877,3.123750000,3.447145682,3.123750000,0.024122711
3.176250000,0.028574992,3.176250000,3.579318512,3.176250000,0.037226137
3.228750000,0.055306599,3.228750000,3.593312516,3.228750000,0.058604699
3.281250000,0.075167895,3.281250000,3.477058487,3.281250000,0.082291650
3.333750000,0.099233862,3.333750000,3.380787182,3.333750000,0.103755309
3.386250000,0.146923602,3.386250000,3.183423475,3.386250000,0.146923602
3.438750000,0.194808267,3.438750000,2.941490072,3.438750000,0.192795323
3.491250000,0.242154745,3.491250000,2.725565675,3.491250000,0.254956833
3.543750000,0.308954758,3.543750000,2.484953639,3.543750000,0.299056412
3.596250000,0.382822321,3.596250000,2.262699079,3.596250000,0.376891847
3.648750000,0.459691545,3.648750000,2.041683694,3.648750000,0.431482297
3.701250000,0.519527386,3.701250000,1.853535555,3.701250000,0.524353913
3.753750000,0.610208243,3.753750000,1.682758047,3.753750000,0.606078873
3.806250000,0.711787898,3.806250000,1.505891767,3.806250000,0.709232107
3.858750000,0.788112679,3.858750000,1.376149531,3.858750000,0.771416129
3.911250000,0.892786122,3.911250000,1.247645262,3.911250000,0.830201192
3.963750000,0.998239393,3.963750000,1.112162261,3.963750000,0.950263301
4.016250000,1.066920391,4.016250000,1.025526732,4.016250000,1.032487737
4.068750000,1.147723189,4.068750000,0.948503336,4.068750000,1.110019587
4.121250000,1.216302822,4.121250000,0.874198299,4.121250000,1.195281073
4.173750000,1.278813112,4.173750000,0.796388940,4.173750000,1.251484801
4.226250000,1.358147579,4.226250000,0.740343355,4.226250000,1.317871070
4.278750000,1.413580115,4.278750000,0.688008346,4.278750000,1.406501379
4.331250000,1.461712757,4.331250000,0.645660111,4.331250000,1.433234172
4.383750000,1.530682131,4.383750000,0.597358933,4.383750000,1.478934560
4.436250000,1.562802680,4.436250000,0.572319700,4.436250000,1.503134231
4.488750000,1.592354230,4.488750000,0.556994805,4.488750000,1.568595585
4.541250000,1.608202555,4.541250000,0.527292138,4.541250000,1.596275694
4.593750000,1.645850199,4.593750000,0.516736711,4.593750000,1.604741543
4.646250000,1.633981941,4.646250000,0.496628506,4.646250000,1.613276913
4.698750000,1.634449043,4.698750000,0.493841267,4.698750000,1.626782322
4.751250000,1.622780630,4.751250000,0.487108716,4.751250000,1.620085955
4.803750000,1.588421099,4.803750000,0.483162594,4.803750000,1.625899539
4.856250000,1.581851310,4.856250000,0.471883527,4.856250000,1.620878907
4.908750000,1.554781916,4.908750000,0.462224445,4.908750000,1.616138999
4.961250000,1.546012577,4.961250000,0.469260681,4.961250000,1.599093632
5.013750000,1.504441199,5.013750000,0.478247764,5.013750000,1.565885612
5.066250000,1.479193354,5.066250000,0.469765549,5.066250000,1.543080493
5.118750000,1.447290798,5.118750000,0.484780375,5.118750000,1.484134231
5.171250000,1.412317302,5.171250000,0.477240846,5.171250000,1.466812178
5.223750000,1.375445688,5.223750000,0.482052291,5.223750000,1.427009151
5.276250000,1.341369709,5.276250000,0.498767864,5.276250000,1.410818059
5.328750000,1.304544169,5.328750000,0.513488593,5.328750000,1.371606271
5.381250000,1.295928009,5.381250000,0.519172612,5.381250000,1.322140662
5.433750000,1.251210590,5.433750000,0.527160204,5.433750000,1.299223826
5.486250000,1.211034774,5.486250000,0.545804689,5.486250000,1.236253681
5.538750000,1.196807032,5.538750000,0.558397907,5.538750000,1.211721859
5.591250000,1.167669348,5.591250000,0.581194749,5.591250000,1.194149605
5.643750000,1.157007060,5.643750000,0.604202372,5.643750000,1.157339200
5.696250000,1.120372542,5.696250000,0.623198214,5.696250000,1.120046497
5.748750000,1.096641468,5.748750000,0.644375847,5.748750000,1.125532045
5.801250000,1.095036384,5.801250000,0.673174973,5.801250000,1.119634230
5.853750000,1.098869457,5.853750000,0.698394905,5.853750000,1.092231628
5.906250000,1.082605309,5.906250000,0.730991174,5.906250000,1.085865483
5.958750000,1.056312910,5.958750000,0.747169788,5.958750000,1.065474922
6.011250000,1.067439292,6.011250000,0.784138543,6.011250000,1.060998353
6.063750000,1.053063739,6.063750000,0.814090629,6.063750000,1.053279531
6.116250000,1.045031937,6.116250000,0.856282046,6.116250000,1.038951648
6.168750000,1.041915534,6.168750000,0.896890922,6.168750000,1.021829242
6.221250000,1.036089989,6.221250000,0.912181793,6.221250000,1.023789752
6.273750000,1.032059792,6.273750000,0.957261494,6.273750000,1.009817993
6.326250000,1.004890321,6.326250000,0.989005643,6.326250000,0.995175808
6.378750000,0.993552222,6.378750000,1.031171318,6.378750000,0.979381833
6.431250000,0.988012107,6.431250000,1.069458241,6.431250000,0.980914227
6.483750000,0.984093259,6.483750000,1.097866735,6.483750000,0.951441142
6.536250000,0.964757503,6.536250000,1.134765577,6.536250000,0.957019138
6.588750000,0.940549269,6.588750000,1.157768546,6.588750000,0.934274067
6.641250000,0.940549103,6.641250000,1.195084366,6.641250000,0.904750071
6.693750000,0.918002608,6.693750000,1.222377925,6.693750000,0.895335877
6.746250000,0.914346827,6.746250000,1.243325990,6.746250000,0.883488929
6.798750000,0.890095290,6.798750000,1.266970105,6.798750000,0.872986876
6.851250000,0.870646411,6.851250000,1.291030204,6.851250000,0.851094618
6.903750000,0.854236545,6.903750000,1.302834301,6.903750000,0.832206409
6.956250000,0.831279566,6.956250000,1.325697559,6.956250000,0.816303526
7.008750000,0.829102491,7.008750000,1.337757041,7.008750000,0.819518736
7.061250000,0.810931869,7.061250000,1.343295382,7.061250000,0.790669181
7.113750000,0.797595498,7.113750000,1.350363291,7.113750000,0.779303222
7.166250000,0.786930490,7.166250000,1.346850376,7.166250000,0.773849315
7.218750000,0.775424392,7.218750000,1.342542168,7.218750000,0.764207689
7.271250000,0.752761870,7.271250000,1.336408539,7.271250000,0.773721946
7.323750000,0.761238991,7.323750000,1.323497202,7.323750000,0.757787331
7.376250000,0.756760759,7.376250000,1.326276074,7.376250000,0.755351069
7.428750000,0.769154443,7.428750000,1.319585550,7.428750000,0.749696738
7.481250000,0.757877408,7.481250000,1.291064336,7.481250000,0.752584836
7.533750000,0.757277047,7.533750000,1.267939354,7.533750000,0.742458630
7.586250000,0.768385408,7.586250000,1.277564252,7.586250000,0.757861469
7.638750000,0.765973197,7.638750000,1.249465632,7.638750000,0.781066935
7.691250000,0.778130435,7.691250000,1.233197246,7.691250000,0.767936587
7.743750000,0.781993773,7.743750000,1.210655387,7.743750000,0.781199871
7.796250000,0.790295276,7.796250000,1.202833379,7.796250000,0.789555544
7.848750000,0.812001219,7.848750000,1.169058344,7.848750000,0.812301753
7.901250000,0.818785442,7.901250000,1.140290034,7.901250000,0.820014022
7.953750000,0.838280681,7.953750000,1.129138525,7.953750000,0.828748588
8.006250000,0.860909319,8.006250000,1.108001651,8.006250000,0.864622802
8.058750000,0.859828657,8.058750000,1.089436205,8.058750000,0.880191198
8.111250000,0.888290659,8.111250000,1.071316767,8.111250000,0.885717884
8.163750000,0.897339854,8.163750000,1.055753895,8.163750000,0.897379538
8.216250000,0.918975757,8.216250000,1.027457888,8.216250000,0.919563438
8.268750000,0.948192326,8.268750000,1.008703576,8.268750000,0.939411334
8.321250000,0.946196551,8.321250000,0.993574805,8.321250000,0.957960985
8.373750000,0.976237079,8.373750000,0.980576055,8.373750000,0.978688799
8.426250000,0.992494731,8.426250000,0.961826000,8.426250000,0.996853006
8.478750000,1.013537125,8.478750000,0.946616610,8.478750000,1.017694434
8.531250000,1.034860112,8.531250000,0.925299167,8.531250000,1.036640720
8.583750000,1.042054495,8.583750000,0.919296338,8.583750000,1.053146291
8.636250000,1.063040416,8.636250000,0.906853592,8.636250000,1.070274396
8.688750000,1.070587292,8.688750000,0.901880383,8.688750000,1.087858785
8.741250000,1.083761078,8.741250000,0.893874462,8.741250000,1.099060420
8.793750000,1.108105107,8.793750000,0.879370319,8.793750000,1.104582318
8.846250000,1.121184328,8.846250000,0.872027491,8.846250000,1.136393014
8.898750000,1.133711670,8.898750000,0.863770421,8.898750000,1.139890573
8.951250000,1.131080883,8.951250000,0.854779868,8.951250000,1.152239549
9.003750000,1.152805075,9.003750000,0.852194147,9.003750000,1.161744330
9.056250000,1.152215901,9.056250000,0.846240112,9.056250000,1.152054662
9.108750000,1.167884803,9.108750000,0.839324123,9.108750000,1.158991065
9.161250000,1.169128161,9.161250000,0.842860425,9.161250000,1.169128161
9.213750000,1.180050031,9.213750000,0.845922327,9.213750000,1.170797058
9.266250000,1.162989140,9.266250000,0.843840784,9.266250000,1.175556668
9.318750000,1.173343163,9.318750000,0.847485505,9.318750000,1.177454813
9.371250000,1.180652223,9.371250000,0.848504379,9.371250000,1.187850036
9.423750000,1.167891381,9.423750000,0.844048410,9.423750000,1.182812039
9.476250000,1.177252858,9.476250000,0.847765447,9.476250000,1.178460418
9.528750000,1.167287305,9.528750000,0.848781069,9.528750000,1.177598979
9.581250000,1.174438371,9.581250000,0.854547505,9.581250000,1.172479245
9.633750000,1.170678079,9.633750000,0.861789840,9.633750000,1.168968228
9.686250000,1.160728410,9.686250000,0.863267620,9.686250000,1.160051863
9.738750000,1.153964278,9.738750000,0.869222172,9.738750000,1.163947585
9.791250000,1.154533756,9.791250000,0.881012897,9.791250000,1.160272078
9.843750000,1.135973841,9.843750000,0.885364256,9.843750000,1.145581539
9.896250000,1.130407445,9.896250000,0.887741168,9.896250000,1.136348714
9.948750000,1.118989517,9.948750000,0.890601160,9.948750000,1.123318400
10.001250000,1.113354047,10.001250000,0.900451683,10.001250000,1.106161906
10.053750000,1.104425673,10.053750000,0.913314839,10.053750000,1.121669241
10.106250000,1.103546157,10.106250000,0.916100948,10.106250000,1.096217840
10.158750000,1.084096625,10.158750000,0.921827729,10.158750000,1.082661448
10.211250000,1.080688836,10.211250000,0.935317260,10.211250000,1.073383628
10.263750000,1.062757213,10.263750000,0.944826780,10.263750000,1.063460195
10.316250000,1.060839911,10.316250000,0.947570076,10.316250000,1.053881466
10.368750000,1.039300198,10.368750000,0.962749304,10.368750000,1.050370454
10.421250000,1.039911470,10.421250000,0.973570107,10.421250000,1.032556765
10.473750000,1.025775424,10.473750000,0.984639678,10.473750000,1.015890407
