Cl-Cl,,Mg-Cl,,Mg-Mg,
1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000
1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000
1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000
1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000
1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000
1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000
1.811250000,0.000000000,1.811250000,0.000412692,1.811250000,0.000000000
1.863750000,0.000000000,1.863750000,0.000779541,1.863750000,0.000000000
1.916250000,0.000000000,1.916250000,0.000921768,1.916250000,0.000000000
1.968750000,0.000000000,1.968750000,0.006462163,1.968750000,0.000000000
2.021250000,0.000000000,2.021250000,0.032642606,2.021250000,0.000000000
2.073750000,0.000000000,2.073750000,0.198185931,2.073750000,0.000000000
2.126250000,0.000000000,2.126250000,0.794210973,2.126250000,0.000000000
2.178750000,0.000000000,2.178750000,2.062127738,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,4.033632189,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,5.819737351,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,6.895935023,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,6.942701940,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,6.130476793,2.441250000,0.000000000
2.493750000,0.000109365,2.493750000,5.020540989,2.493750000,0.000000000
2.546250000,0.000209803,2.546250000,3.814721522,2.546250000,0.001264698
2.598750000,0.000906352,2.598750000,2.846102864,2.598750000,0.000809411
2.651250000,0.001935142,2.651250000,2.051481113,2.651250000,0.000000000
2.703750000,0.004372698,2.703750000,1.514376324,2.703750000,0.005982137
2.756250000,0.009668782,2.756250000,1.097049116,2.756250000,0.006475976
2.808750000,0.023449222,2.808750000,0.848158476,2.808750000,0.018015553
2.861250000,0.050011635,2.861250000,0.658635400,2.861250000,0.030714757
2.913750000,0.099495543,2.913750000,0.527229385,2.913750000,0.051831361
2.966250000,0.180105691,2.966250000,0.450564855,2.966250000,0.089464081
3.018750000,0.297190120,3.018750000,0.379313808,3.018750000,0.137367278
3.071250000,0.444735508,3.071250000,0.350524054,3.071250000,0.206021120
3.123750000,0.635598420,3.123750000,0.310604267,3.123750000,0.288787880
3.176250000,0.860894648,3.176250000,0.291966433,3.176250000,0.377664869
3.228750000,1.095264239,3.228750000,0.289432511,3.228750000,0.454887634
3.281250000,1.344698462,3.281250000,0.275214762,3.281250000,0.578040386
3.333750000,1.577327937,3.333750000,0.270757077,3.333750000,0.669907945
3.386250000,1.801520918,3.386250000,0.275297181,3.386250000,0.802325203
3.438750000,1.967680043,3.438750000,0.275714699,3.438750000,0.894970591
3.491250000,2.088453903,3.491250000,0.300309709,3.491250000,0.981946716
3.543750000,2.195302824,3.543750000,0.301666229,3.543750000,1.084090414
3.596250000,2.250262475,3.596250000,0.323335376,3.596250000,1.176724571
3.648750000,2.259333321,3.648750000,0.335810631,3.648750000,1.283941471
3.701250000,2.231539632,3.701250000,0.358225966,3.701250000,1.315013610
3.753750000,2.200737681,3.753750000,0.380994321,3.753750000,1.431533944
3.806250000,2.151057075,3.806250000,0.405276037,3.806250000,1.480609554
3.858750000,2.074607474,3.858750000,0.433514669,3.858750000,1.576431520
3.911250000,1.982698090,3.911250000,0.458817950,3.911250000,1.625516259
3.963750000,1.884811487,3.963750000,0.483800853,3.963750000,1.673378265
4.016250000,1.787537200,4.016250000,0.517401936,4.016250000,1.639066540
4.068750000,1.664139294,4.068750000,0.537709578,4.068750000,1.685371642
4.121250000,1.559583284,4.121250000,0.582330460,4.121250000,1.666844827
4.173750000,1.462344060,4.173750000,0.606634908,4.173750000,1.639767655
4.226250000,1.353584449,4.226250000,0.637632694,4.226250000,1.632947513
4.278750000,1.261800515,4.278750000,0.682910323,4.278750000,1.574609007
4.331250000,1.177884962,4.331250000,0.712863392,4.331250000,1.504032304
4.383750000,1.100257630,4.383750000,0.755884322,4.383750000,1.444756038
4.436250000,1.012129652,4.436250000,0.782749558,4.436250000,1.386042369
4.488750000,0.956086428,4.488750000,0.819145404,4.488750000,1.293445007
4.541250000,0.889751121,4.541250000,0.850211921,4.541250000,1.197577483
4.593750000,0.853898885,4.593750000,0.880743150,4.593750000,1.136167184
4.646250000,0.808687287,4.646250000,0.922605383,4.646250000,1.053914454
4.698750000,0.771648563,4.698750000,0.954752174,4.698750000,0.985927804
4.751250000,0.736311531,4.751250000,0.993237776,4.751250000,0.913891769
4.803750000,0.722132759,4.803750000,1.017999212,4.803750000,0.837290034
4.856250000,0.688001965,4.856250000,1.046314877,4.856250000,0.789730453
4.908750000,0.676666648,4.908750000,1.067124143,4.908750000,0.742188140
4.961250000,0.659050464,4.961250000,1.093781462,4.961250000,0.713460467
5.013750000,0.655899777,5.013750000,1.126230825,5.013750000,0.701532990
5.066250000,0.643595485,5.066250000,1.158848013,5.066250000,0.689092207
5.118750000,0.640792520,5.118750000,1.181964860,5.118750000,0.673256219
5.171250000,0.634129699,5.171250000,1.205782199,5.171250000,0.681630441
5.223750000,0.627778405,5.223750000,1.239870005,5.223750000,0.684725794
5.276250000,0.633451048,5.276250000,1.269499553,5.276250000,0.673130941
5.328750000,0.634252417,5.328750000,1.281013787,5.328750000,0.691697278
5.381250000,0.647256272,5.381250000,1.311289979,5.381250000,0.699409431
5.433750000,0.649667254,5.433750000,1.325121312,5.433750000,0.714471891
5.486250000,0.666600858,5.486250000,1.348217041,5.486250000,0.726017392
5.538750000,0.679564046,5.538750000,1.354601313,5.538750000,0.752323287
5.591250000,0.693404503,5.591250000,1.352301877,5.591250000,0.760206592
5.643750000,0.718593812,5.643750000,1.354805393,5.643750000,0.783800251
5.696250000,0.726495996,5.696250000,1.347222848,5.696250000,0.804798462
5.748750000,0.755764770,5.748750000,1.326641178,5.748750000,0.827466247
5.801250000,0.764782224,5.801250000,1.307023048,5.801250000,0.855682585
5.853750000,0.799218615,5.853750000,1.287694563,5.853750000,0.876057857
5.906250000,0.824652805,5.906250000,1.249145691,5.906250000,0.883196882
5.958750000,0.849147131,5.958750000,1.208813227,5.958750000,0.917584723
6.011250000,0.889471755,6.011250000,1.183350758,6.011250000,0.937480427
6.063750000,0.918289954,6.063750000,1.146967169,6.063750000,0.953653430
6.116250000,0.941591990,6.116250000,1.107291645,6.116250000,0.975565105
6.168750000,0.979163310,6.168750000,1.066072937,6.168750000,0.994369254
6.221250000,1.004495245,6.221250000,1.033131036,6.221250000,0.998490341
6.273750000,1.036500666,6.273750000,0.995840294,6.273750000,1.028653550
6.326250000,1.063299070,6.326250000,0.970364477,6.326250000,1.036783902
6.378750000,1.088844413,6.378750000,0.942893589,6.378750000,1.057943384
6.431250000,1.113367987,6.431250000,0.913387826,6.431250000,1.082241569
6.483750000,1.155352892,6.483750000,0.888414073,6.483750000,1.088517714
6.536250000,1.159426057,6.536250000,0.869334990,6.536250000,1.101490848
6.588750000,1.187601295,6.588750000,0.845259461,6.588750000,1.129213556
6.641250000,1.201328463,6.641250000,0.832240197,6.641250000,1.122213807
6.693750000,1.220021069,6.693750000,0.821593748,6.693750000,1.121211033
6.746250000,1.227826541,6.746250000,0.812158360,6.746250000,1.154995932
6.798750000,1.233436499,6.798750000,0.807089451,6.798750000,1.161293852
6.851250000,1.247395756,6.851250000,0.802512612,6.851250000,1.164818203
6.903750000,1.237243739,6.903750000,0.804614388,6.903750000,1.162825519
6.956250000,1.232933354,6.956250000,0.805134509,6.956250000,1.169176286
7.008750000,1.236906373,7.008750000,0.808318915,7.008750000,1.159961182
7.061250000,1.233805071,7.061250000,0.812351843,7.061250000,1.165032724
7.113750000,1.217623448,7.113750000,0.820392107,7.113750000,1.172313267
7.166250000,1.206642309,7.166250000,0.832895665,7.166250000,1.160202448
7.218750000,1.185396111,7.218750000,0.834660806,7.218750000,1.163057494
7.271250000,1.176830633,7.271250000,0.847338607,7.271250000,1.162762703
7.323750000,1.160551628,7.323750000,0.862559728,7.323750000,1.169389036
7.376250000,1.139115006,7.376250000,0.877288088,7.376250000,1.153455298
7.428750000,1.121777340,7.428750000,0.889699848,7.428750000,1.147808686
7.481250000,1.099684293,7.481250000,0.905209986,7.481250000,1.131609176
7.533750000,1.085010309,7.533750000,0.922612292,7.533750000,1.131302857
7.586250000,1.071120322,7.586250000,0.940012472,7.586250000,1.113229308
7.638750000,1.046528359,7.638750000,0.954180298,7.638750000,1.106692470
7.691250000,1.029093798,7.691250000,0.972441272,7.691250000,1.095747894
7.743750000,1.010457676,7.743750000,0.977894355,7.743750000,1.090147971
7.796250000,0.987562336,7.796250000,0.992379730,7.796250000,1.060360897
7.848750000,0.970541838,7.848750000,1.008831011,7.848750000,1.062506415
7.901250000,0.958852874,7.901250000,1.016604181,7.901250000,1.045894367
7.953750000,0.946946145,7.953750000,1.033202421,7.953750000,1.025392764
8.006250000,0.936010978,8.006250000,1.036373219,8.006250000,1.025122430
8.058750000,0.921373117,8.058750000,1.052560677,8.058750000,0.997247299
8.111250000,0.907985641,8.111250000,1.056760174,8.111250000,0.984172053
8.163750000,0.900763770,8.163750000,1.075483673,8.163750000,0.966387229
8.216250000,0.893178219,8.216250000,1.077879111,8.216250000,0.955979702
8.268750000,0.882538805,8.268750000,1.086018601,8.268750000,0.954712415
8.321250000,0.876427639,8.321250000,1.088363079,8.321250000,0.943019400
8.373750000,0.876520361,8.373750000,1.096578486,8.373750000,0.932089372
8.426250000,0.875316600,8.426250000,1.101520885,8.426250000,0.921126704
8.478750000,0.882211739,8.478750000,1.103535618,8.478750000,0.911237715
8.531250000,0.880152647,8.531250000,1.103352533,8.531250000,0.906666532
8.583750000,0.879047015,8.583750000,1.106996311,8.583750000,0.905662788
8.636250000,0.890195529,8.636250000,1.107093650,8.636250000,0.908427592
8.688750000,0.888029078,8.688750000,1.106955366,8.688750000,0.907330543
8.741250000,0.895837473,8.741250000,1.099280387,8.741250000,0.889202866
8.793750000,0.902481945,8.793750000,1.093538935,8.793750000,0.902687496
8.846250000,0.907072212,8.846250000,1.090520428,8.846250000,0.917606543
8.898750000,0.912213118,8.898750000,1.084590102,8.898750000,0.927141377
8.951250000,0.920566757,8.951250000,1.083252230,8.951250000,0.915069690
9.003750000,0.934973207,9.003750000,1.075007252,9.003750000,0.931840506
9.056250000,0.942259243,9.056250000,1.071263182,9.056250000,0.929132830
9.108750000,0.954176763,9.108750000,1.058729642,9.108750000,0.941414592
9.161250000,0.964973931,9.161250000,1.045387802,9.161250000,0.942053996
9.213750000,0.973140361,9.213750000,1.038038098,9.213750000,0.956784209
9.266250000,0.987294248,9.266250000,1.032387925,9.266250000,0.964372521
9.318750000,1.002164802,9.318750000,1.021092224,9.318750000,0.971792525
9.371250000,1.003606826,9.371250000,1.016104924,9.371250000,0.987482872
9.423750000,1.019207265,9.423750000,1.008024332,9.423750000,0.991776632
9.476250000,1.027092446,9.476250000,0.996448799,9.476250000,0.995488759
9.528750000,1.035469053,9.528750000,0.986341459,9.528750000,1.003845470
9.581250000,1.042911864,9.581250000,0.977700509,9.581250000,1.011453586
9.633750000,1.055730238,9.633750000,0.971785635,9.633750000,1.022370734
9.686250000,1.064491381,9.686250000,0.964664050,9.686250000,1.029409172
9.738750000,1.066670598,9.738750000,0.962657136,9.738750000,1.039637441
9.791250000,1.074190558,9.791250000,0.955588608,9.791250000,1.049046033
9.843750000,1.076358940,9.843750000,0.948301314,9.843750000,1.042371029
9.896250000,1.076941737,9.896250000,0.941964709,9.896250000,1.041025095
9.948750000,1.082166263,9.948750000,0.937589642,9.948750000,1.047713021
10.001250000,1.088017587,10.001250000,0.941585946,10.001250000,1.049612775
10.053750000,1.080082245,10.053750000,0.933606322,10.053750000,1.061448096
10.106250000,1.086017059,10.106250000,0.930467234,10.106250000,1.059975641
10.158750000,1.078221792,10.158750000,0.931187140,10.158750000,1.051140477
10.211250000,1.075727750,10.211250000,0.933505214,10.211250000,1.052627542
10.263750000,1.071304200,10.263750000,0.940939091,10.263750000,1.056935203
10.316250000,1.075286667,10.316250000,0.939522456,10.316250000,1.051624010
10.368750000,1.064121620,10.368750000,0.940371982,10.368750000,1.056713142
10.421250000,1.058030065,10.421250000,0.942758792,10.421250000,1.046596352
10.473750000,1.053693272,10.473750000,0.945803512,10.473750000,1.052649762
