Ca-Ca,,Ca-Cl,,Ca-Mg,,Ca-Na,,Cl-Cl,,Mg-Cl,,Mg-Mg,,Mg-Na,,Na-Cl,,Na-Na,
0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000
0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000
0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000
0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000
0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000
0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000
0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000
0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000
0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000
0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000
1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000
1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000
1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000
1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000
1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000
1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000
1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000
1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000
1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000
1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000
1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000
1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000
1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000
1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000
1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000
1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000645501,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000
1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000
1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.002306815,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000
1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.003824507,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000
2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.016587074,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000
2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.122123707,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000288668,2.073750000,0.000000000
2.126250000,0.000000000,2.126250000,0.000995388,2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.557885834,2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.001098359,2.126250000,0.000000000
2.178750000,0.000000000,2.178750000,0.001895996,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,1.846030884,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.008891568,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,0.002711740,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,3.780696651,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.025184892,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,0.022433670,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,5.811640141,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.103540019,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,0.097290027,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,7.122832816,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.285444744,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,0.343062776,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,7.345022784,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.609381767,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,0.983134544,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,6.571997286,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,1.092961950,2.441250000,0.000000000
2.493750000,0.000000000,2.493750000,2.095655605,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,5.317462210,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,1.668459731,2.493750000,0.000000000
2.546250000,0.000000000,2.546250000,3.437212546,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,4.220490692,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,2.190119698,2.546250000,0.001061524
2.598750000,0.000000000,2.598750000,4.557802988,2.598750000,0.000000000,2.598750000,0.000000000,2.598750000,0.000135816,2.598750000,3.178389496,2.598750000,0.000000000,2.598750000,0.000000000,2.598750000,2.654352806,2.598750000,0.002038138
2.651250000,0.000000000,2.651250000,5.340055725,2.651250000,0.000000000,2.651250000,0.000000000,2.651250000,0.000260980,2.651250000,2.343046106,2.651250000,0.000000000,2.651250000,0.000000000,2.651250000,2.960896539,2.651250000,0.005874665
2.703750000,0.000000000,2.703750000,5.545913590,2.703750000,0.000000000,2.703750000,0.000000000,2.703750000,0.001003776,2.703750000,1.730044917,2.703750000,0.002774027,2.703750000,0.000000000,2.703750000,3.086136600,2.703750000,0.005648745
2.756250000,0.000000000,2.756250000,5.373978436,2.756250000,0.000000000,2.756250000,0.000000000,2.756250000,0.003139183,2.756250000,1.285651451,2.756250000,0.000000000,2.756250000,0.002278160,2.756250000,3.111698034,2.756250000,0.011777157
2.808750000,0.000000000,2.808750000,4.782507685,2.808750000,0.000000000,2.808750000,0.001553937,2.808750000,0.007324792,2.808750000,0.967185411,2.808750000,0.002570506,2.808750000,0.005850117,2.808750000,2.979468419,2.808750000,0.008723859
2.861250000,0.000000000,2.861250000,4.157320688,2.861250000,0.000000000,2.861250000,0.000000000,2.861250000,0.024312494,2.861250000,0.781209358,2.861250000,0.012385217,2.861250000,0.010570143,2.861250000,2.799714216,2.861250000,0.020175992
2.913750000,0.000000000,2.913750000,3.401939707,2.913750000,0.000000000,2.913750000,0.000000000,2.913750000,0.050453828,2.913750000,0.625348772,2.913750000,0.009554348,2.913750000,0.022423892,2.913750000,2.572520291,2.913750000,0.029993893
2.966250000,0.000000000,2.966250000,2.732760405,2.966250000,0.000000000,2.966250000,0.001393303,2.966250000,0.099452362,2.966250000,0.492210374,2.966250000,0.039181358,2.966250000,0.038028967,2.966250000,2.326639220,2.966250000,0.037545841
3.018750000,0.000000000,3.018750000,2.206928861,3.018750000,0.004589720,3.018750000,0.008071575,3.018750000,0.177854507,3.018750000,0.427831578,3.018750000,0.053407642,3.018750000,0.046846792,3.018750000,2.151330437,3.018750000,0.077033986
3.071250000,0.000000000,3.071250000,1.733275928,3.071250000,0.006651227,3.071250000,0.007797989,3.071250000,0.310590069,3.071250000,0.372917710,3.071250000,0.075246193,3.071250000,0.091129447,3.071250000,1.947852333,3.071250000,0.091934194
3.123750000,0.000000000,3.123750000,1.344831833,3.123750000,0.021431800,3.123750000,0.021357895,3.123750000,0.467653179,3.123750000,0.324244133,3.123750000,0.170415265,3.123750000,0.135389848,3.123750000,1.753160533,3.123750000,0.114261441
3.176250000,0.000000000,3.176250000,1.089751424,3.176250000,0.035239609,3.176250000,0.030378971,3.176250000,0.678527986,3.176250000,0.304167937,3.176250000,0.170858695,3.176250000,0.219014521,3.176250000,1.610900839,3.176250000,0.150082785
3.228750000,0.000000000,3.228750000,0.889698394,3.228750000,0.038115059,3.228750000,0.047038545,3.228750000,0.880391131,3.228750000,0.273229865,3.228750000,0.247048782,3.228750000,0.305473859,3.228750000,1.460814890,3.228750000,0.179571718
3.281250000,0.000000000,3.281250000,0.769918830,3.281250000,0.069925567,3.281250000,0.075149885,3.281250000,1.158203499,3.281250000,0.264556641,3.281250000,0.342800057,3.281250000,0.427590812,3.281250000,1.318740802,3.281250000,0.264642674
3.333750000,0.008530294,3.333750000,0.664877049,3.333750000,0.105374226,3.333750000,0.123542187,3.333750000,1.430597055,3.333750000,0.260482032,3.333750000,0.447042131,3.333750000,0.535695557,3.333750000,1.231624116,3.333750000,0.283620675
3.386250000,0.016535689,3.386250000,0.531392170,3.386250000,0.211559562,3.386250000,0.152883845,3.386250000,1.637597266,3.386250000,0.251175030,3.386250000,0.537630937,3.386250000,0.726497021,3.386250000,1.108851185,3.386250000,0.382331551
3.438750000,0.048103938,3.438750000,0.478755990,3.438750000,0.274121728,3.438750000,0.256070533,3.438750000,1.837436415,3.438750000,0.259145206,3.438750000,0.721987796,3.438750000,0.904022328,3.438750000,1.044176804,3.438750000,0.450483366
3.491250000,0.054446126,3.491250000,0.431975387,3.491250000,0.389472843,3.491250000,0.354033922,3.491250000,2.038225946,3.491250000,0.264093551,3.491250000,0.773642420,3.491250000,1.087660416,3.491250000,0.956584262,3.491250000,0.511005929
3.543750000,0.166083930,3.543750000,0.389527990,3.543750000,0.516236851,3.543750000,0.487123121,3.543750000,2.171034496,3.543750000,0.267793908,3.543750000,0.910756777,3.543750000,1.286285328,3.543750000,0.883373350,3.543750000,0.629699538
3.596250000,0.197922573,3.596250000,0.355272426,3.596250000,0.632252710,3.596250000,0.626565230,3.596250000,2.229743097,3.596250000,0.267400991,3.596250000,0.981576775,3.596250000,1.508618818,3.596250000,0.838092114,3.596250000,0.694997361
3.648750000,0.291962568,3.648750000,0.337685958,3.648750000,0.766558879,3.648750000,0.778096200,3.648750000,2.240931164,3.648750000,0.265488014,3.648750000,1.108901764,3.648750000,1.708182591,3.648750000,0.798202870,3.648750000,0.804897068
3.701250000,0.442909381,3.701250000,0.332773355,3.701250000,0.885411740,3.701250000,0.960213690,3.701250000,2.229433645,3.701250000,0.285217742,3.701250000,1.139840296,3.701250000,1.771665670,3.701250000,0.752701936,3.701250000,0.922392995
3.753750000,0.544987167,3.753750000,0.311393876,3.753750000,1.018140589,3.753750000,1.092758425,3.753750000,2.195239962,3.753750000,0.305250542,3.753750000,1.185896659,3.753750000,2.002912877,3.753750000,0.712500055,3.753750000,0.981760894
3.806250000,0.719830438,3.806250000,0.303484336,3.806250000,1.138929660,3.806250000,1.306526084,3.806250000,2.132314449,3.806250000,0.342934195,3.806250000,1.184203284,3.806250000,2.030073237,3.806250000,0.687325157,3.806250000,1.063178091
3.858750000,0.744946192,3.858750000,0.302536177,3.858750000,1.352532495,3.858750000,1.407065687,3.858750000,2.032244227,3.858750000,0.342911078,3.858750000,1.223020554,3.858750000,2.154598191,3.858750000,0.644654606,3.858750000,1.144915576
3.911250000,0.966776204,3.911250000,0.295645730,3.911250000,1.350643326,3.911250000,1.597136076,3.911250000,1.919773951,3.911250000,0.363946212,3.911250000,1.333575816,3.911250000,2.197835835,3.911250000,0.636716141,3.911250000,1.272748858
3.963750000,1.158567646,3.963750000,0.305624934,3.963750000,1.405615263,3.963750000,1.797777371,3.963750000,1.825470467,3.963750000,0.387932549,3.963750000,1.286867114,3.963750000,2.265214282,3.963750000,0.634816486,3.963750000,1.314164820
4.016250000,1.204883970,4.016250000,0.329771437,4.016250000,1.524688293,4.016250000,1.935769209,4.016250000,1.738935153,4.016250000,0.422496065,4.016250000,1.288645933,4.016250000,2.220329489,4.016250000,0.609939611,4.016250000,1.393102161
4.068750000,1.374428750,4.068750000,0.331646192,4.068750000,1.485595891,4.068750000,1.942417343,4.068750000,1.611848354,4.068750000,0.451448184,4.068750000,1.324204502,4.068750000,2.227522548,4.068750000,0.610498985,4.068750000,1.397710131
4.121250000,1.389871279,4.121250000,0.356635432,4.121250000,1.508320732,4.121250000,2.158140371,4.121250000,1.510883285,4.121250000,0.467076771,4.121250000,1.245311270,4.121250000,2.149733788,4.121250000,0.602134100,4.121250000,1.502935980
4.173750000,1.692547343,4.173750000,0.361928487,4.173750000,1.594266388,4.173750000,2.135154372,4.173750000,1.417457455,4.173750000,0.505000946,4.173750000,1.256088553,4.173750000,2.110233712,4.173750000,0.597771300,4.173750000,1.505663075
4.226250000,1.815303230,4.226250000,0.384235169,4.226250000,1.605250846,4.226250000,2.184705893,4.226250000,1.326329952,4.226250000,0.539722584,4.226250000,1.164900447,4.226250000,2.105289303,4.226250000,0.598859532,4.226250000,1.526287444
4.278750000,1.910847903,4.278750000,0.365031550,4.278750000,1.539827333,4.278750000,2.187002107,4.278750000,1.250092790,4.278750000,0.543216690,4.278750000,1.177474187,4.278750000,2.037242072,4.278750000,0.619650935,4.278750000,1.538309753
4.331250000,1.713195416,4.331250000,0.421725898,4.331250000,1.632039481,4.331250000,2.108166150,4.331250000,1.176064111,4.331250000,0.588943056,4.331250000,1.202071691,4.331250000,1.988154305,4.331250000,0.607830611,4.331250000,1.577920298
4.383750000,1.983208300,4.383750000,0.435805640,4.383750000,1.545300699,4.383750000,2.178543587,4.383750000,1.122289404,4.383750000,0.631785251,4.383750000,1.207220716,4.383750000,1.925809356,4.383750000,0.613837627,4.383750000,1.507761983
4.436250000,1.676413608,4.436250000,0.451162728,4.436250000,1.554635705,4.436250000,2.162169886,4.436250000,1.031705201,4.436250000,0.668034520,4.436250000,1.173664677,4.436250000,1.837992892,4.436250000,0.639703782,4.436250000,1.488373632
4.488750000,1.769176185,4.488750000,0.487798060,4.488750000,1.537165670,4.488750000,2.040701883,4.488750000,1.002295828,4.488750000,0.703476069,4.488750000,1.110138409,4.488750000,1.809280691,4.488750000,0.631420326,4.488750000,1.477672427
4.541250000,1.815852063,4.541250000,0.501461491,4.541250000,1.540364568,4.541250000,1.983091154,4.541250000,0.944163022,4.541250000,0.736082729,4.541250000,1.121985874,4.541250000,1.757619171,4.541250000,0.635747429,4.541250000,1.458054735
4.593750000,1.824003303,4.593750000,0.552122992,4.593750000,1.474636219,4.593750000,1.910718584,4.593750000,0.911491363,4.593750000,0.770034260,4.593750000,0.997505542,4.593750000,1.691156721,4.593750000,0.652890740,4.593750000,1.434050573
4.646250000,1.690791233,4.646250000,0.577448453,4.646250000,1.461843483,4.646250000,1.842795852,4.646250000,0.876095393,4.646250000,0.795502999,4.646250000,0.955363373,4.646250000,1.630439304,4.646250000,0.667951107,4.646250000,1.441040237
4.698750000,1.623161119,4.698750000,0.633919944,4.698750000,1.435042762,4.698750000,1.831831041,4.698750000,0.848567583,4.698750000,0.844107514,4.698750000,0.890963560,4.698750000,1.559455545,4.698750000,0.693650005,4.698750000,1.398419641
4.751250000,1.709280161,4.751250000,0.662649772,4.751250000,1.378491690,4.751250000,1.732921596,4.751250000,0.822238965,4.751250000,0.883063968,4.751250000,0.821076108,4.751250000,1.502438335,4.751250000,0.710192083,4.751250000,1.354576605
4.803750000,1.729641133,4.803750000,0.671257220,4.803750000,1.398370371,4.803750000,1.690469547,4.803750000,0.814938205,4.803750000,0.924989105,4.803750000,0.807621361,4.803750000,1.462777799,4.803750000,0.723482135,4.803750000,1.330498983
4.856250000,1.660285505,4.856250000,0.723038670,4.856250000,1.325733699,4.856250000,1.700901981,4.856250000,0.800291522,4.856250000,0.956643037,4.856250000,0.767896274,4.856250000,1.399764360,4.856250000,0.760197076,4.856250000,1.266574876
4.908750000,1.632830692,4.908750000,0.783295587,4.908750000,1.281905267,4.908750000,1.539555144,4.908750000,0.797844318,4.908750000,0.980586149,4.908750000,0.781015065,4.908750000,1.346759161,4.908750000,0.773957330,4.908750000,1.287327454
4.961250000,1.467498703,4.961250000,0.793499532,4.961250000,1.213286418,4.961250000,1.491704652,4.961250000,0.780489239,4.961250000,1.033420757,4.961250000,0.687951152,4.961250000,1.267780551,4.961250000,0.802452126,4.961250000,1.256312218
5.013750000,1.470870086,5.013750000,0.834794000,5.013750000,1.149741295,5.013750000,1.529392759,5.013750000,0.787655703,5.013750000,1.054183990,5.013750000,0.720409687,5.013750000,1.241598922,5.013750000,0.808502038,5.013750000,1.231235165
5.066250000,1.543967622,5.066250000,0.903320687,5.066250000,1.103222091,5.066250000,1.415229346,5.066250000,0.771952013,5.066250000,1.085750547,5.066250000,0.642348670,5.066250000,1.175766224,5.066250000,0.847020375,5.066250000,1.207458654
5.118750000,1.320688043,5.118750000,0.899657222,5.118750000,0.976149232,5.118750000,1.415824986,5.118750000,0.780598717,5.118750000,1.121626426,5.118750000,0.620726271,5.118750000,1.172028577,5.118750000,0.868871499,5.118750000,1.144992561
5.171250000,1.379093876,5.171250000,0.951490000,5.171250000,0.932968650,5.171250000,1.382639096,5.171250000,0.779990350,5.171250000,1.169687873,5.171250000,0.613495140,5.171250000,1.063352852,5.171250000,0.908420383,5.171250000,1.146312046
5.223750000,1.309821012,5.223750000,0.978638597,5.223750000,0.899748390,5.223750000,1.291191427,5.223750000,0.786811861,5.223750000,1.186574324,5.223750000,0.637641049,5.223750000,1.007413720,5.223750000,0.925875429,5.223750000,1.080004787
5.276250000,1.174907858,5.276250000,1.001128877,5.276250000,0.842117523,5.276250000,1.254174497,5.276250000,0.785795301,5.276250000,1.234739251,5.276250000,0.572566106,5.276250000,1.007359967,5.276250000,0.951913356,5.276250000,1.092241917
5.328750000,1.208630064,5.328750000,1.061851587,5.328750000,0.751220399,5.328750000,1.165686733,5.328750000,0.787282381,5.328750000,1.259603971,5.328750000,0.582050689,5.328750000,0.938441355,5.328750000,0.990566027,5.328750000,1.045861166
5.381250000,1.158970833,5.381250000,1.091275147,5.381250000,0.726523395,5.381250000,1.126965348,5.381250000,0.795213987,5.381250000,1.286339650,5.381250000,0.609966208,5.381250000,0.905875579,5.381250000,1.019862522,5.381250000,1.036011385
5.433750000,0.947236355,5.433750000,1.110223649,5.433750000,0.656596335,5.433750000,1.065018075,5.433750000,0.784737178,5.433750000,1.306934472,5.433750000,0.599610131,5.433750000,0.870088423,5.433750000,1.065464917,5.433750000,1.009095669
5.486250000,0.853598839,5.486250000,1.136772897,5.486250000,0.627414648,5.486250000,1.030069721,5.486250000,0.774209087,5.486250000,1.339385164,5.486250000,0.682515230,5.486250000,0.811347956,5.486250000,1.092232533,5.486250000,0.972039794
5.538750000,0.961108987,5.538750000,1.195567368,5.538750000,0.601261246,5.538750000,0.969873945,5.538750000,0.773445366,5.538750000,1.354775011,5.538750000,0.627331129,5.538750000,0.789081900,5.538750000,1.108450590,5.538750000,0.933957415
5.591250000,0.876427218,5.591250000,1.233825392,5.591250000,0.603402256,5.591250000,0.935667878,5.591250000,0.772544336,5.591250000,1.372469549,5.591250000,0.657121740,5.591250000,0.756432683,5.591250000,1.151310304,5.591250000,0.924426322
5.643750000,0.753044916,5.643750000,1.273002762,5.643750000,0.561369551,5.643750000,0.907179462,5.643750000,0.779346945,5.643750000,1.375511198,5.643750000,0.667236843,5.643750000,0.729384185,5.643750000,1.177891784,5.643750000,0.897584339
5.696250000,0.680790976,5.696250000,1.288480287,5.696250000,0.609076798,5.696250000,0.813080234,5.696250000,0.765754135,5.696250000,1.388389935,5.696250000,0.671869165,5.696250000,0.712267564,5.696250000,1.216502205,5.696250000,0.908477882
5.748750000,0.691363115,5.748750000,1.336000541,5.748750000,0.589776487,5.748750000,0.833538190,5.748750000,0.767041546,5.748750000,1.400570931,5.748750000,0.667630910,5.748750000,0.688319849,5.748750000,1.242280191,5.748750000,0.877174384
5.801250000,0.653553109,5.801250000,1.357260272,5.801250000,0.587228448,5.801250000,0.782456935,5.801250000,0.772245400,5.801250000,1.343117399,5.801250000,0.722487703,5.801250000,0.666318381,5.801250000,1.264938037,5.801250000,0.848895142
5.853750000,0.564414213,5.853750000,1.390941732,5.853750000,0.572470340,5.853750000,0.737716848,5.853750000,0.780271914,5.853750000,1.347748821,5.853750000,0.740360876,5.853750000,0.680179428,5.853750000,1.285862257,5.853750000,0.833937558
5.906250000,0.568013688,5.906250000,1.428892832,5.906250000,0.588117228,5.906250000,0.708142783,5.906250000,0.781055675,5.906250000,1.323895488,5.906250000,0.772602080,5.906250000,0.672441089,5.906250000,1.287660242,5.906250000,0.827859067
5.958750000,0.520667535,5.958750000,1.410669404,5.958750000,0.574265706,5.958750000,0.694338465,5.958750000,0.791972464,5.958750000,1.310570857,5.958750000,0.833867639,5.958750000,0.662918904,5.958750000,1.304544741,5.958750000,0.808877373
