Cl-Cl,,Cs-Cl,,Cs-Cs,
1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000
1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000
1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000
1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000
1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000
1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000
1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000
1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000
1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000
1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000
2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000
2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000
2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000000000
2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,0.000000000
2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,0.000000000
2.546250000,0.000000000,2.546250000,0.000204265,2.546250000,0.000000000
2.598750000,0.000000000,2.598750000,0.000196095,2.598750000,0.000000000
2.651250000,0.000000000,2.651250000,0.000753626,2.651250000,0.000000000
2.703750000,0.000000000,2.703750000,0.006884114,2.703750000,0.000000000
2.756250000,0.000000000,2.756250000,0.027020448,2.756250000,0.000000000
2.808750000,0.000338447,2.808750000,0.081920425,2.808750000,0.000000000
2.861250000,0.000000000,2.861250000,0.196383991,2.861250000,0.000000000
2.913750000,0.000628989,2.913750000,0.418675338,2.913750000,0.000000000
2.966250000,0.000303461,2.966250000,0.760108746,2.966250000,0.000000000
3.018750000,0.003222975,3.018750000,1.197638815,3.018750000,0.000000000
3.071250000,0.004245999,3.071250000,1.727775007,3.071250000,0.000283067
3.123750000,0.008756222,3.123750000,2.237503511,3.123750000,0.000273632
3.176250000,0.012968399,3.176250000,2.708928027,3.176250000,0.001058645
3.228750000,0.027661446,3.228750000,3.133767150,3.228750000,0.002561245
3.281250000,0.034719196,3.281250000,3.411793764,3.281250000,0.008431805
3.333750000,0.046847790,3.333750000,3.572940035,3.333750000,0.012252499
3.386250000,0.075677392,3.386250000,3.643531440,3.386250000,0.019093988
3.438750000,0.104544426,3.438750000,3.600999400,3.438750000,0.037482451
3.491250000,0.145892740,3.491250000,3.473740165,3.491250000,0.059802880
3.543750000,0.180085542,3.543750000,3.315686385,3.543750000,0.090574310
3.596250000,0.222143874,3.596250000,3.116468665,3.596250000,0.127794663
3.648750000,0.275562779,3.648750000,2.935816049,3.648750000,0.193736277
3.701250000,0.337772255,3.701250000,2.708595793,3.701250000,0.217515197
3.753750000,0.391301776,3.753750000,2.448769064,3.753750000,0.298639999
3.806250000,0.462964470,3.806250000,2.215768502,3.806250000,0.375790029
3.858750000,0.535091888,3.858750000,2.063830677,3.858750000,0.447224922
3.911250000,0.603031379,3.911250000,1.862579713,3.911250000,0.524139864
3.963750000,0.690830054,3.963750000,1.667234399,3.963750000,0.634238072
4.016250000,0.764426615,4.016250000,1.536655682,4.016250000,0.709966599
4.068750000,0.819825844,4.068750000,1.391658103,4.068750000,0.789503739
4.121250000,0.922477632,4.121250000,1.247655033,4.121250000,0.870757260
4.173750000,0.993987499,4.173750000,1.152300768,4.173750000,0.943253519
4.226250000,1.038061997,4.226250000,1.059861256,4.226250000,1.025056324
4.278750000,1.134233208,4.278750000,0.961094664,4.278750000,1.078520583
4.331250000,1.184189041,4.331250000,0.881601377,4.331250000,1.161558505
4.383750000,1.306330391,4.383750000,0.818435825,4.383750000,1.270761302
4.436250000,1.312497613,4.436250000,0.764321299,4.436250000,1.304764269
4.488750000,1.358173456,4.488750000,0.708161603,4.488750000,1.378183622
4.541250000,1.428716996,4.541250000,0.669149644,4.541250000,1.410073113
4.593750000,1.446985700,4.593750000,0.635052086,4.593750000,1.466344638
4.646250000,1.488434646,4.646250000,0.595445077,4.646250000,1.533703641
4.698750000,1.515586482,4.698750000,0.569436729,4.698750000,1.527317402
4.751250000,1.530417987,4.751250000,0.553284816,4.751250000,1.567439459
4.803750000,1.549680911,4.803750000,0.510667800,4.803750000,1.570971234
4.856250000,1.566738648,4.856250000,0.504347167,4.856250000,1.595383313
4.908750000,1.533848299,4.908750000,0.492957237,4.908750000,1.623272918
4.961250000,1.553302156,4.961250000,0.488498158,4.961250000,1.615785712
5.013750000,1.548241035,5.013750000,0.472420835,5.013750000,1.592534154
5.066250000,1.561260002,5.066250000,0.464589679,5.066250000,1.631375223
5.118750000,1.526443408,5.118750000,0.474366294,5.118750000,1.617546981
5.171250000,1.501498196,5.171250000,0.466467284,5.171250000,1.589563192
5.223750000,1.501117813,5.223750000,0.455099840,5.223750000,1.601316277
5.276250000,1.450197026,5.276250000,0.464546428,5.276250000,1.559249540
5.328750000,1.450912607,5.328750000,0.463273461,5.328750000,1.544098245
5.381250000,1.405405689,5.381250000,0.472114497,5.381250000,1.516514065
5.433750000,1.395471331,5.433750000,0.476626645,5.433750000,1.470530706
5.486250000,1.351149636,5.486250000,0.480572440,5.486250000,1.442166610
5.538750000,1.341932886,5.538750000,0.481261780,5.538750000,1.421832639
5.591250000,1.311128298,5.591250000,0.507258615,5.591250000,1.381933155
5.643750000,1.288441583,5.643750000,0.511336757,5.643750000,1.367827021
5.696250000,1.271055182,5.696250000,0.519913720,5.696250000,1.326025068
5.748750000,1.238169643,5.748750000,0.531179199,5.748750000,1.300785074
5.801250000,1.208165065,5.801250000,0.544904954,5.801250000,1.252515227
5.853750000,1.159162838,5.853750000,0.564045684,5.853750000,1.232175447
5.906250000,1.152348341,5.906250000,0.572172195,5.906250000,1.198273881
5.958750000,1.148300173,5.958750000,0.594920233,5.958750000,1.160708131
6.011250000,1.128995270,6.011250000,0.621334419,6.011250000,1.155818052
6.063750000,1.109748175,6.063750000,0.641453880,6.063750000,1.142063182
6.116250000,1.093134017,6.116250000,0.655802155,6.116250000,1.109622033
6.168750000,1.096007688,6.168750000,0.685023581,6.168750000,1.096639190
6.221250000,1.079174545,6.221250000,0.715017162,6.221250000,1.076139086
6.273750000,1.072585494,6.273750000,0.745563773,6.273750000,1.076520094
6.326250000,1.061729032,6.326250000,0.763221555,6.326250000,1.055724532
6.378750000,1.060992267,6.378750000,0.799208010,6.378750000,1.065323383
6.431250000,1.059944289,6.431250000,0.823964337,6.431250000,1.040190166
6.483750000,1.058854506,6.483750000,0.857331294,6.483750000,1.037704092
6.536250000,1.058975300,6.536250000,0.892345150,6.536250000,1.028913501
6.588750000,1.051146476,6.588750000,0.928640206,6.588750000,1.013381471
6.641250000,1.045913928,6.641250000,0.965242002,6.641250000,1.018974546
6.693750000,1.034279630,6.693750000,1.007945622,6.693750000,1.005258301
6.746250000,1.030564924,6.746250000,1.027441858,6.746250000,0.996830731
6.798750000,1.024934904,6.798750000,1.072720868,6.798750000,0.974678839
6.851250000,1.005476142,6.851250000,1.109809889,6.851250000,0.971800996
6.903750000,0.992874975,6.903750000,1.138426377,6.903750000,0.960998551
6.956250000,0.974634042,6.956250000,1.168847443,6.956250000,0.930380150
7.008750000,0.953673546,7.008750000,1.194377330,7.008750000,0.919266288
7.061250000,0.951272891,7.061250000,1.223722881,7.061250000,0.903934159
7.113750000,0.936914496,7.113750000,1.245244738,7.113750000,0.892382434
7.166250000,0.914658336,7.166250000,1.256851974,7.166250000,0.866720922
7.218750000,0.889617601,7.218750000,1.283468610,7.218750000,0.849907105
7.271250000,0.880908241,7.271250000,1.310365575,7.271250000,0.841567100
7.323750000,0.864640284,7.323750000,1.313843782,7.323750000,0.827752815
7.376250000,0.845407502,7.376250000,1.328603842,7.376250000,0.814048856
7.428750000,0.826484962,7.428750000,1.341329010,7.428750000,0.800599851
7.481250000,0.827234251,7.481250000,1.342375004,7.481250000,0.788019340
7.533750000,0.811934499,7.533750000,1.344381696,7.533750000,0.782767143
7.586250000,0.800828371,7.586250000,1.348183488,7.586250000,0.763526592
7.638750000,0.802991328,7.638750000,1.339565929,7.638750000,0.748216959
7.691250000,0.780737025,7.691250000,1.322840823,7.691250000,0.746071705
7.743750000,0.780027194,7.743750000,1.338071007,7.743750000,0.742312669
7.796250000,0.765867109,7.796250000,1.324381245,7.796250000,0.746669912
7.848750000,0.758863141,7.848750000,1.311323775,7.848750000,0.744863095
7.901250000,0.762070732,7.901250000,1.303416848,7.901250000,0.737392608
7.953750000,0.767153723,7.953750000,1.279484048,7.953750000,0.743939895
8.006250000,0.758791923,8.006250000,1.271911829,8.006250000,0.753626673
8.058750000,0.779485528,8.058750000,1.264855931,8.058750000,0.756584877
8.111250000,0.772633909,8.111250000,1.245395227,8.111250000,0.769224872
8.163750000,0.783841935,8.163750000,1.211981679,8.163750000,0.763089054
8.216250000,0.799210374,8.216250000,1.195385149,8.216250000,0.779236048
8.268750000,0.799559982,8.268750000,1.172467148,8.268750000,0.789289186
8.321250000,0.811019927,8.321250000,1.164623950,8.321250000,0.804811568
8.373750000,0.830317553,8.373750000,1.131745664,8.373750000,0.823996402
8.426250000,0.844447213,8.426250000,1.118003989,8.426250000,0.831247437
8.478750000,0.857050069,8.478750000,1.096095792,8.478750000,0.849993102
8.531250000,0.868142427,8.531250000,1.077315401,8.531250000,0.860695127
8.583750000,0.879045077,8.583750000,1.065777298,8.583750000,0.889264424
8.636250000,0.894309003,8.636250000,1.050586102,8.636250000,0.886755294
8.688750000,0.903057603,8.688750000,1.028648529,8.688750000,0.921908882
8.741250000,0.918136684,8.741250000,1.012637697,8.741250000,0.938334713
8.793750000,0.945326281,8.793750000,0.991779749,8.793750000,0.959344927
8.846250000,0.962765853,8.846250000,0.982615228,8.846250000,0.966826141
8.898750000,0.974064546,8.898750000,0.966054572,8.898750000,0.977436412
8.951250000,0.986898868,8.951250000,0.956805395,8.951250000,0.997262723
9.003750000,1.009084843,9.003750000,0.936776400,9.003750000,1.016462687
9.056250000,1.023073409,9.056250000,0.925639929,9.056250000,1.026491792
9.108750000,1.027598082,9.108750000,0.905119913,9.108750000,1.044268271
9.161250000,1.040351046,9.161250000,0.906894658,9.161250000,1.076841754
9.213750000,1.066460747,9.213750000,0.897665579,9.213750000,1.071272984
9.266250000,1.085196633,9.266250000,0.892304069,9.266250000,1.097293418
9.318750000,1.088315912,9.318750000,0.880387178,9.318750000,1.117341769
9.371250000,1.091054134,9.371250000,0.873325360,9.371250000,1.121914381
9.423750000,1.109659259,9.423750000,0.877774202,9.423750000,1.128480802
9.476250000,1.115506048,9.476250000,0.866143134,9.476250000,1.137806654
9.528750000,1.133802149,9.528750000,0.861686539,9.528750000,1.155416585
9.581250000,1.133510771,9.581250000,0.859237370,9.581250000,1.156023340
9.633750000,1.142796287,9.633750000,0.851610308,9.633750000,1.170674279
9.686250000,1.143931341,9.686250000,0.854458507,9.686250000,1.183489122
9.738750000,1.149761546,9.738750000,0.850325767,9.738750000,1.175915524
9.791250000,1.143035095,9.791250000,0.856703654,9.791250000,1.181943965
9.843750000,1.164520455,9.843750000,0.849038627,9.843750000,1.200122083
9.896250000,1.171609464,9.896250000,0.848005623,9.896250000,1.189739925
9.948750000,1.170445270,9.948750000,0.853048598,9.948750000,1.196235154
10.001250000,1.157281802,10.001250000,0.853649334,10.001250000,1.189929039
10.053750000,1.165488213,10.053750000,0.853824161,10.053750000,1.187598677
10.106250000,1.169854408,10.106250000,0.859084114,10.106250000,1.185853668
10.158750000,1.169230059,10.158750000,0.860609588,10.158750000,1.184986761
10.211250000,1.157699000,10.211250000,0.861537594,10.211250000,1.181821464
10.263750000,1.155517484,10.263750000,0.870032722,10.263750000,1.166315055
10.316250000,1.158714451,10.316250000,0.872549077,10.316250000,1.161047736
10.368750000,1.143533371,10.368750000,0.879589422,10.368750000,1.164494673
10.421250000,1.130196716,10.421250000,0.884114778,10.421250000,1.152373345
10.473750000,1.135616564,10.473750000,0.889507466,10.473750000,1.147737986
