Ca-Ca,,Ca-Cl,,Ca-Na,,Cl-Cl,,Na-Cl,,Na-Na,
1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000
1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000
1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000
1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000
1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000
1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000
1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000
1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000
1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000
1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000
1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000
1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000
1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000
2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000
2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000
2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000301542,2.126250000,0.000000000
2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.002297486,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,0.001055493,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.022727949,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,0.010579007,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.077108886,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,0.059690695,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.242277727,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,0.284558425,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.566223806,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,0.839617692,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,1.057273511,2.441250000,0.000000000
2.493750000,0.000000000,2.493750000,1.906079233,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,1.655317339,2.493750000,0.000000000
2.546250000,0.000000000,2.546250000,3.277064396,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,2.224255911,2.546250000,0.001318243
2.598750000,0.000000000,2.598750000,4.659184052,2.598750000,0.000000000,2.598750000,0.000000000,2.598750000,2.741691664,2.598750000,0.002531041
2.651250000,0.000000000,2.651250000,5.581788354,2.651250000,0.000000000,2.651250000,0.000126904,2.651250000,3.155130086,2.651250000,0.001215899
2.703750000,0.000000000,2.703750000,5.936263439,2.703750000,0.000000000,2.703750000,0.000488093,2.703750000,3.251612695,2.703750000,0.002338278
2.756250000,0.000000000,2.756250000,5.703634264,2.756250000,0.000000000,2.756250000,0.001878707,2.756250000,3.250773079,2.756250000,0.006750156
2.808750000,0.000000000,2.808750000,5.110909997,2.808750000,0.000000000,2.808750000,0.003392126,2.808750000,3.119501294,2.808750000,0.015167085
2.861250000,0.000000000,2.861250000,4.316104049,2.861250000,0.000000000,2.861250000,0.010024288,2.861250000,2.892342237,2.861250000,0.022967397
2.913750000,0.000000000,2.913750000,3.516099891,2.913750000,0.000475891,2.913750000,0.028578674,2.913750000,2.718080608,2.913750000,0.031207448
2.966250000,0.000000000,2.966250000,2.788936596,2.966250000,0.002295973,2.966250000,0.058294892,2.966250000,2.429505458,2.966250000,0.057311010
3.018750000,0.000000000,3.018750000,2.211423782,3.018750000,0.003103533,3.018750000,0.124316271,3.018750000,2.211994892,3.018750000,0.075030464
3.071250000,0.000000000,3.071250000,1.755413116,3.071250000,0.008995016,3.071250000,0.203606957,3.071250000,1.947974189,3.071250000,0.092421316
3.123750000,0.000000000,3.123750000,1.340264029,3.123750000,0.014492017,3.123750000,0.338425555,3.123750000,1.801176185,3.123750000,0.138390799
3.176250000,0.001572268,3.176250000,1.084850140,3.176250000,0.026031409,3.176250000,0.499572704,3.176250000,1.626047894,3.176250000,0.189767425
3.228750000,0.003043107,3.228750000,0.868391775,3.228750000,0.044570037,3.228750000,0.701999401,3.228750000,1.448972068,3.228750000,0.268910851
3.281250000,0.003683136,3.281250000,0.719418211,3.281250000,0.070924691,3.281250000,0.942604152,3.281250000,1.325104066,3.281250000,0.306416599
3.333750000,0.006422486,3.333750000,0.592681205,3.333750000,0.117422425,3.333750000,1.181067531,3.333750000,1.215741113,3.333750000,0.346828198
3.386250000,0.012449774,3.386250000,0.502841026,3.386250000,0.165605471,3.386250000,1.451002525,3.386250000,1.105812690,3.386250000,0.472558318
3.438750000,0.023474378,3.438750000,0.425834688,3.438750000,0.247031430,3.438750000,1.665706928,3.438750000,1.026420675,3.438750000,0.543526957
3.491250000,0.050102148,3.491250000,0.373568575,3.491250000,0.349708296,3.491250000,1.854642904,3.491250000,0.947353337,3.491250000,0.659830569
3.543750000,0.101046572,3.543750000,0.357456124,3.543750000,0.498035635,3.543750000,2.010282919,3.543750000,0.867275316,3.543750000,0.697593876
3.596250000,0.161281288,3.596250000,0.316825239,3.596250000,0.624494889,3.596250000,2.151075404,3.596250000,0.813677372,3.596250000,0.813511094
3.648750000,0.226372458,3.648750000,0.297708655,3.648750000,0.778725687,3.648750000,2.209153573,3.648750000,0.750494776,3.648750000,0.915454380
3.701250000,0.311468300,3.701250000,0.280212786,3.701250000,0.961177941,3.701250000,2.230992371,3.701250000,0.707163344,3.701250000,1.084322675
3.753750000,0.393436914,3.753750000,0.285668826,3.753750000,1.209175638,3.753750000,2.242333907,3.753750000,0.694003597,3.753750000,1.137910105
3.806250000,0.555101177,3.806250000,0.265147613,3.806250000,1.405570353,3.806250000,2.190817197,3.806250000,0.646478211,3.806250000,1.299648416
3.858750000,0.640236135,3.858750000,0.275804183,3.858750000,1.561596766,3.858750000,2.147245732,3.858750000,0.623971188,3.858750000,1.333979112
3.911250000,0.814986786,3.911250000,0.272228411,3.911250000,1.791198305,3.911250000,2.052845063,3.911250000,0.612234395,3.911250000,1.436406275
3.963750000,0.982335130,3.963750000,0.285049314,3.963750000,2.002253666,3.963750000,1.959536463,3.963750000,0.596991626,3.963750000,1.432879936
4.016250000,1.166771401,4.016250000,0.295156523,4.016250000,2.091020720,4.016250000,1.865783162,4.016250000,0.566695522,4.016250000,1.588535253
4.068750000,1.299263824,4.068750000,0.293778653,4.068750000,2.199463214,4.068750000,1.751613770,4.068750000,0.567812427,4.068750000,1.583945403
4.121250000,1.437277149,4.121250000,0.315347053,4.121250000,2.312679126,4.121250000,1.664415099,4.121250000,0.567003262,4.121250000,1.590646200
4.173750000,1.562515692,4.173750000,0.327976461,4.173750000,2.324909354,4.173750000,1.536369187,4.173750000,0.570593957,4.173750000,1.671086548
4.226250000,1.666473111,4.226250000,0.345327769,4.226250000,2.348715743,4.226250000,1.428815728,4.226250000,0.559559054,4.226250000,1.640354637
4.278750000,1.723734464,4.278750000,0.368694523,4.278750000,2.331598599,4.278750000,1.346900139,4.278750000,0.561624332,4.278750000,1.660104280
4.331250000,1.806917796,4.331250000,0.395875863,4.331250000,2.305570505,4.331250000,1.273172223,4.331250000,0.570620185,4.331250000,1.632404851
4.383750000,1.800215975,4.383750000,0.423981466,4.383750000,2.245212209,4.383750000,1.178198833,4.383750000,0.574770077,4.383750000,1.650912702
4.436250000,1.829995860,4.436250000,0.445179833,4.436250000,2.197929221,4.436250000,1.105649870,4.436250000,0.569074512,4.436250000,1.614675226
4.488750000,1.829557364,4.488750000,0.461233801,4.488750000,2.089065819,4.488750000,1.035488700,4.488750000,0.595422916,4.488750000,1.567370056
4.541250000,1.857877509,4.541250000,0.501720570,4.541250000,2.060047221,4.541250000,0.983526578,4.541250000,0.613929422,4.541250000,1.502744098
4.593750000,1.784836457,4.593750000,0.521819225,4.593750000,1.949090009,4.593750000,0.937798406,4.593750000,0.620004320,4.593750000,1.455631760
4.646250000,1.796163914,4.646250000,0.560786344,4.646250000,1.908473823,4.646250000,0.875733909,4.646250000,0.632027810,4.646250000,1.422922326
4.698750000,1.771697494,4.698750000,0.597593859,4.698750000,1.810615641,4.698750000,0.856233561,4.698750000,0.643670888,4.698750000,1.407949232
4.751250000,1.699384301,4.751250000,0.644925903,4.751250000,1.758294943,4.751250000,0.819436379,4.751250000,0.673610916,4.751250000,1.325515518
4.803750000,1.696468234,4.803750000,0.669334574,4.803750000,1.665094769,4.803750000,0.800308927,4.803750000,0.685376121,4.803750000,1.321146205
4.856250000,1.659986467,4.856250000,0.713933984,4.856250000,1.614039872,4.856250000,0.767855028,4.856250000,0.703819553,4.856250000,1.229312878
4.908750000,1.639480562,4.908750000,0.762916002,4.908750000,1.548847048,4.908750000,0.768547789,4.908750000,0.729977929,4.908750000,1.190034209
4.961250000,1.612699695,4.961250000,0.797133038,4.961250000,1.488007394,4.961250000,0.776396391,4.961250000,0.740254996,4.961250000,1.207692004
5.013750000,1.571530891,5.013750000,0.831795317,5.013750000,1.418272684,5.013750000,0.770335641,5.013750000,0.774728596,5.013750000,1.135612171
5.066250000,1.567557358,5.066250000,0.879086244,5.066250000,1.377067446,5.066250000,0.783368833,5.066250000,0.799760574,5.066250000,1.100210559
5.118750000,1.528605548,5.118750000,0.908277491,5.118750000,1.329072869,5.118750000,0.814739361,5.118750000,0.826781808,5.118750000,1.090479790
5.171250000,1.455611422,5.171250000,0.947603756,5.171250000,1.260523663,5.171250000,0.835941268,5.171250000,0.835569956,5.171250000,1.040644727
5.223750000,1.371277061,5.223750000,1.000675953,5.223750000,1.209402501,5.223750000,0.863845487,5.223750000,0.869669353,5.223750000,1.040818031
5.276250000,1.315064897,5.276250000,1.025031851,5.276250000,1.180955572,5.276250000,0.876508286,5.276250000,0.903624074,5.276250000,0.959112611
5.328750000,1.245428979,5.328750000,1.039309136,5.328750000,1.091778534,5.328750000,0.892622169,5.328750000,0.943664254,5.328750000,0.978232408
5.381250000,1.147024222,5.381250000,1.092442428,5.381250000,1.051604147,5.381250000,0.916599612,5.381250000,0.980000184,5.381250000,0.970158765
5.433750000,1.101059864,5.433750000,1.113126193,5.433750000,1.032750044,5.433750000,0.908611036,5.433750000,1.007282277,5.433750000,0.930370813
5.486250000,0.978640301,5.486250000,1.146920031,5.486250000,0.962338001,5.486250000,0.893705288,5.486250000,1.041589177,5.486250000,0.880562435
5.538750000,0.919845450,5.538750000,1.181208546,5.538750000,0.914152863,5.538750000,0.876494495,5.538750000,1.071976329,5.538750000,0.875928485
5.591250000,0.850391079,5.591250000,1.216366356,5.591250000,0.877809388,5.591250000,0.850980899,5.591250000,1.107454429,5.591250000,0.868031741
5.643750000,0.763180931,5.643750000,1.248739036,5.643750000,0.832632699,5.643750000,0.834550305,5.643750000,1.137152880,5.643750000,0.833979226
5.696250000,0.719357545,5.696250000,1.267975475,5.696250000,0.802786517,5.696250000,0.807113861,5.696250000,1.174438799,5.696250000,0.833955050
5.748750000,0.645562233,5.748750000,1.308485905,5.748750000,0.749679853,5.748750000,0.784962608,5.748750000,1.222554934,5.748750000,0.775344401
5.801250000,0.628510572,5.801250000,1.341668625,5.801250000,0.722006079,5.801250000,0.772012292,5.801250000,1.236459085,5.801250000,0.766961751
5.853750000,0.580486305,5.853750000,1.363257613,5.853750000,0.703689578,5.853750000,0.755909823,5.853750000,1.286193306,5.853750000,0.759751448
5.906250000,0.554979532,5.906250000,1.394829580,5.906250000,0.690540282,5.906250000,0.744755995,5.906250000,1.302354679,5.906250000,0.770561007
5.958750000,0.538765605,5.958750000,1.406101272,5.958750000,0.661584688,5.958750000,0.741739751,5.958750000,1.317288567,5.958750000,0.746692079
6.011250000,0.515129531,6.011250000,1.422148861,6.011250000,0.633530877,6.011250000,0.740294731,6.011250000,1.341577786,6.011250000,0.726610652
6.063750000,0.510777912,6.063750000,1.411385512,6.063750000,0.608542929,6.063750000,0.744586654,6.063750000,1.345180771,6.063750000,0.727797684
6.116250000,0.494838437,6.116250000,1.422835124,6.116250000,0.606457252,6.116250000,0.761332702,6.116250000,1.351013963,6.116250000,0.714214626
6.168750000,0.501457764,6.168750000,1.405244800,6.168750000,0.588215359,6.168750000,0.765213460,6.168750000,1.370211851,6.168750000,0.691104029
6.221250000,0.505325118,6.221250000,1.403690941,6.221250000,0.594510324,6.221250000,0.788907025,6.221250000,1.357081619,6.221250000,0.699584499
6.273750000,0.495694219,6.273750000,1.385970828,6.273750000,0.586757738,6.273750000,0.809573257,6.273750000,1.343261947,6.273750000,0.712028463
6.326250000,0.513857882,6.326250000,1.347962830,6.326250000,0.584933985,6.326250000,0.832256099,6.326250000,1.329678128,6.326250000,0.685951221
6.378750000,0.542859302,6.378750000,1.330289004,6.378750000,0.602553363,6.378750000,0.850095445,6.378750000,1.301313404,6.378750000,0.733942735
6.431250000,0.539593359,6.431250000,1.292840899,6.431250000,0.600473124,6.431250000,0.874943277,6.431250000,1.309424018,6.431250000,0.707337353
6.483750000,0.572018402,6.483750000,1.260957656,6.483750000,0.610971390,6.483750000,0.909275655,6.483750000,1.292196308,6.483750000,0.720326094
6.536250000,0.577160733,6.536250000,1.217443136,6.536250000,0.636187806,6.536250000,0.940475570,6.536250000,1.254225906,6.536250000,0.718203792
6.588750000,0.597048196,6.588750000,1.176723527,6.588750000,0.614828188,6.588750000,0.955836262,6.588750000,1.224268576,6.588750000,0.727279631
6.641250000,0.631881348,6.641250000,1.144550917,6.641250000,0.637849226,6.641250000,0.996079064,6.641250000,1.198188993,6.641250000,0.746637811
6.693750000,0.629619777,6.693750000,1.115555224,6.693750000,0.661518017,6.693750000,1.028078123,6.693750000,1.169518083,6.693750000,0.755382420
6.746250000,0.695314907,6.746250000,1.076957124,6.746250000,0.682688902,6.746250000,1.060199154,6.746250000,1.144916072,6.746250000,0.748178400
6.798750000,0.725626412,6.798750000,1.033217643,6.798750000,0.690979447,6.798750000,1.082061651,6.798750000,1.113941403,6.798750000,0.795283607
6.851250000,0.758647942,6.851250000,1.018507176,6.851250000,0.719508828,6.851250000,1.111379884,6.851250000,1.080002326,6.851250000,0.812275507
6.903750000,0.799404322,6.903750000,0.976862339,6.903750000,0.752180090,6.903750000,1.133732808,6.903750000,1.052798062,6.903750000,0.807141537
6.956250000,0.817705234,6.956250000,0.962417302,6.956250000,0.780530424,6.956250000,1.156780082,6.956250000,1.039361590,6.956250000,0.853468292
7.008750000,0.854421888,7.008750000,0.927620608,7.008750000,0.801370020,7.008750000,1.179829347,7.008750000,1.011665298,7.008750000,0.871526812
7.061250000,0.901253766,7.061250000,0.911243540,7.061250000,0.822640317,7.061250000,1.190778841,7.061250000,0.973765175,7.061250000,0.881927922
7.113750000,0.937055003,7.113750000,0.901088203,7.113750000,0.843676779,7.113750000,1.197928556,7.113750000,0.954650017,7.113750000,0.913546594
7.166250000,0.979281612,7.166250000,0.880540812,7.166250000,0.887849325,7.166250000,1.202553065,7.166250000,0.935696418,7.166250000,0.947476008
7.218750000,1.027490675,7.218750000,0.875468858,7.218750000,0.931582700,7.218750000,1.210443205,7.218750000,0.924228808,7.218750000,0.955558880
7.271250000,1.063109725,7.271250000,0.865009333,7.271250000,0.957840524,7.271250000,1.210304101,7.271250000,0.905257933,7.271250000,0.994510050
7.323750000,1.118454541,7.323750000,0.848782365,7.323750000,0.975794954,7.323750000,1.201512824,7.323750000,0.884294025,7.323750000,1.002770940
7.376250000,1.151568300,7.376250000,0.845097495,7.376250000,1.003168000,7.376250000,1.203537981,7.376250000,0.874883158,7.376250000,1.080286193
7.428750000,1.182344136,7.428750000,0.837908414,7.428750000,1.040508092,7.428750000,1.194087247,7.428750000,0.856088646,7.428750000,1.067239389
7.481250000,1.241195256,7.481250000,0.836282838,7.481250000,1.086739246,7.481250000,1.184144798,7.481250000,0.858365232,7.481250000,1.105455714
7.533750000,1.259589657,7.533750000,0.823209749,7.533750000,1.101971460,7.533750000,1.173309522,7.533750000,0.839189620,7.533750000,1.128803380
7.586250000,1.289760617,7.586250000,0.824592984,7.586250000,1.123699882,7.586250000,1.151344678,7.586250000,0.832115644,7.586250000,1.139223246
7.638750000,1.293840444,7.638750000,0.828562313,7.638750000,1.158231337,7.638750000,1.139716058,7.638750000,0.823403870,7.638750000,1.172247739
7.691250000,1.320615489,7.691250000,0.826994581,7.691250000,1.171569622,7.691250000,1.127346544,7.691250000,0.815773463,7.691250000,1.192419838
7.743750000,1.338215521,7.743750000,0.821493384,7.743750000,1.186058022,7.743750000,1.112499140,7.743750000,0.819754745,7.743750000,1.202389431
7.796250000,1.372186432,7.796250000,0.823867584,7.796250000,1.206565654,7.796250000,1.101176859,7.796250000,0.826560757,7.796250000,1.190890600
7.848750000,1.353633394,7.848750000,0.825827724,7.848750000,1.208121384,7.848750000,1.072752620,7.848750000,0.827136622,7.848750000,1.246326066
7.901250000,1.357682760,7.901250000,0.827137106,7.901250000,1.233345878,7.901250000,1.064002514,7.901250000,0.824173903,7.901250000,1.246521104
7.953750000,1.372790827,7.953750000,0.824435940,7.953750000,1.225548353,7.953750000,1.063440755,7.953750000,0.820549016,7.953750000,1.276865650
8.006250000,1.386397316,8.006250000,0.829727385,8.006250000,1.254659527,8.006250000,1.041342957,8.006250000,0.826816647,8.006250000,1.271508541
8.058750000,1.368880905,8.058750000,0.834507978,8.058750000,1.246328843,8.058750000,1.034178869,8.058750000,0.831256414,8.058750000,1.256969768
8.111250000,1.351459267,8.111250000,0.836340097,8.111250000,1.246459920,8.111250000,1.013187805,8.111250000,0.827223724,8.111250000,1.273228023
8.163750000,1.352578438,8.163750000,0.839376921,8.163750000,1.239755316,8.163750000,1.013221708,8.163750000,0.834455949,8.163750000,1.266523000
8.216250000,1.340165309,8.216250000,0.849916217,8.216250000,1.245808255,8.216250000,0.993482862,8.216250000,0.845960109,8.216250000,1.260011442
8.268750000,1.321229435,8.268750000,0.862830279,8.268750000,1.246585023,8.268750000,0.997176820,8.268750000,0.854254382,8.268750000,1.270063443
8.321250000,1.290636540,8.321250000,0.869678910,8.321250000,1.212291090,8.321250000,0.993419964,8.321250000,0.863808378,8.321250000,1.242608666
8.373750000,1.278349475,8.373750000,0.875782631,8.373750000,1.216786473,8.373750000,0.983852058,8.373750000,0.882583308,8.373750000,1.269616205
8.426250000,1.250740727,8.426250000,0.891381254,8.426250000,1.198712228,8.426250000,0.978879737,8.426250000,0.887287868,8.426250000,1.235547505
8.478750000,1.226253099,8.478750000,0.915025244,8.478750000,1.214431660,8.478750000,0.980208704,8.478750000,0.900020073,8.478750000,1.245736634
8.531250000,1.209136799,8.531250000,0.919664323,8.531250000,1.190593209,8.531250000,0.980621998,8.531250000,0.917636176,8.531250000,1.216477316
8.583750000,1.220010117,8.583750000,0.936371148,8.583750000,1.175964288,8.583750000,0.969583468,8.583750000,0.931461747,8.583750000,1.203266410
8.636250000,1.187676711,8.636250000,0.957131813,8.636250000,1.152501176,8.636250000,0.970939445,8.636250000,0.938815783,8.636250000,1.188337760
8.688750000,1.166223738,8.688750000,0.966604303,8.688750000,1.135458170,8.688750000,0.967063769,8.688750000,0.948741735,8.688750000,1.185794782
8.741250000,1.140943216,8.741250000,0.990567240,8.741250000,1.114562866,8.741250000,0.968406062,8.741250000,0.963911161,8.741250000,1.163651947
8.793750000,1.115668660,8.793750000,1.008063579,8.793750000,1.105056311,8.793750000,0.958607894,8.793750000,0.980361881,8.793750000,1.139851797
8.846250000,1.106620911,8.846250000,1.015053753,8.846250000,1.085576730,8.846250000,0.958776626,8.846250000,0.993376308,8.846250000,1.117297512
8.898750000,1.065558348,8.898750000,1.032327490,8.898750000,1.062090599,8.898750000,0.956655457,8.898750000,1.007066464,8.898750000,1.088610658
8.951250000,1.053392774,8.951250000,1.052718101,8.951250000,1.039936402,8.951250000,0.946357290,8.951250000,1.025659685,8.951250000,1.073958447
9.003750000,1.012576776,9.003750000,1.061771424,9.003750000,1.034871654,9.003750000,0.944761481,9.003750000,1.036655224,9.003750000,1.059678387
9.056250000,0.996615907,9.056250000,1.083471359,9.056250000,0.980590581,9.056250000,0.944607298,9.056250000,1.050884847,9.056250000,1.055556390
9.108750000,0.981337040,9.108750000,1.090747079,9.108750000,0.984123525,9.108750000,0.942189823,9.108750000,1.061021370,9.108750000,1.044041773
9.161250000,0.956136100,9.161250000,1.102027333,9.161250000,0.968591995,9.161250000,0.933611563,9.161250000,1.071035862,9.161250000,0.995448962
9.213750000,0.950876516,9.213750000,1.105041587,9.213750000,0.947781084,9.213750000,0.935790556,9.213750000,1.082889735,9.213750000,0.992795558
9.266250000,0.916578154,9.266250000,1.122987863,9.266250000,0.927613565,9.266250000,0.932406061,9.266250000,1.091660112,9.266250000,0.979586821
9.318750000,0.914042785,9.318750000,1.124212718,9.318750000,0.919052140,9.318750000,0.926952916,9.318750000,1.105329755,9.318750000,0.964052888
9.371250000,0.898050235,9.371250000,1.137441908,9.371250000,0.920423372,9.371250000,0.933874174,9.371250000,1.114744421,9.371250000,0.970605002
9.423750000,0.877533738,9.423750000,1.140040829,9.423750000,0.894773347,9.423750000,0.937339622,9.423750000,1.112336957,9.423750000,0.968674870
9.476250000,0.859888486,9.476250000,1.137040956,9.476250000,0.884346528,9.476250000,0.936032075,9.476250000,1.113740090,9.476250000,0.946264437
9.528750000,0.868608050,9.528750000,1.135441294,9.528750000,0.875296018,9.528750000,0.930697730,9.528750000,1.113468277,9.528750000,0.917133650
9.581250000,0.846933419,9.581250000,1.138831438,9.581250000,0.868502838,9.581250000,0.934052705,9.581250000,1.117071019,9.581250000,0.913813906
9.633750000,0.852255277,9.633750000,1.136375845,9.633750000,0.853882100,9.633750000,0.935530148,9.633750000,1.126684203,9.633750000,0.898632011
9.686250000,0.836532800,9.686250000,1.124748929,9.686250000,0.853048450,9.686250000,0.946789797,9.686250000,1.125256664,9.686250000,0.886275374
9.738750000,0.857725986,9.738750000,1.125647905,9.738750000,0.851373687,9.738750000,0.947171739,9.738750000,1.110382979,9.738750000,0.889091615
9.791250000,0.857570007,9.791250000,1.120652654,9.791250000,0.842436753,9.791250000,0.954506974,9.791250000,1.111718380,9.791250000,0.894917007
9.843750000,0.843044973,9.843750000,1.111672976,9.843750000,0.842981586,9.843750000,0.961171961,9.843750000,1.110077968,9.843750000,0.870931167
9.896250000,0.829345954,9.896250000,1.098541088,9.896250000,0.835133871,9.896250000,0.965437907,9.896250000,1.100809079,9.896250000,0.882921933
9.948750000,0.822699470,9.948750000,1.078243876,9.948750000,0.838058747,9.948750000,0.957925210,9.948750000,1.081742431,9.948750000,0.872419169
10.001250000,0.822886241,10.001250000,1.051258147,10.001250000,0.816478530,10.001250000,0.952014905,10.001250000,1.052942001,10.001250000,0.853713767
10.053750000,0.817453206,10.053750000,1.020499684,10.053750000,0.821164702,10.053750000,0.946590281,10.053750000,1.023023579,10.053750000,0.851331977
