Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Na_x,J_Na_y,J_Na_z,J_K_x,J_K_y,J_K_z,J_Cl_x,J_Cl_y,J_Cl_z
0,7425.113839056977,0.0004983939,-0.0011092538,0.0026146988,10.166875856617388,1.6078851168834898,-5.556338023264742,2.380208607749192,4.697644700058492,-0.9526319917854522,19.816182673102546,-9.428867021411929,2.689346891723014
5,7425.113839056977,0.00055006676,-0.0009913885,0.0027893877,10.881675290993279,-1.1099984894850694,-4.606839130415664,3.0417966987449843,4.931173415901223,-1.123228876927456,18.439795290834404,-6.944512427366207,1.9104446381504174
10,7425.113839056977,0.0005791829,-0.00083643314,0.0028789537,11.827797761439705,-4.131801942231167,-3.3455628887472866,3.7891901544724185,4.9642041855652606,-1.363857297470087,16.74627950349673,-3.9557398173906924,0.8897970492477696
15,7425.113839056977,0.00058232015,-0.00065152795,0.0028742368,12.896633994134298,-7.252544214583967,-1.9196846044069389,4.6266906093740205,4.906246691559583,-1.6239473886485172,14.839942788932204,-0.7770398458552137,-0.27599095359191894
20,7425.113839056977,0.0005579898,-0.00045209614,0.0028003638,13.9454685189502,-10.246773870932548,-0.5105351400543423,5.558137664477511,4.83270946635029,-1.8500692007614963,12.859661196910613,2.2907270215336393,-1.4590183941066286
25,7425.113839056977,0.0005047479,-0.000257066,0.002700722,14.817975575258878,-12.912568223234876,0.7378551137680898,6.5849303363945735,4.765200103235919,-2.004639553071698,10.96036123286382,5.024030715650651,-2.5528380377757465
30,7425.113839056977,0.0004211031,-8.234997e-05,0.0026121517,15.358211147986276,-15.097490809393669,1.7634732203096046,7.702629237597887,4.681289713243397,-2.0825661986400656,9.302426609064286,7.292863632565441,-3.5005293103770825
35,7425.113839056977,0.0003083427,6.3889885e-05,0.002548955,15.436208245113356,-16.70533821694119,2.5797362137764157,8.89294430556971,4.535226146400684,-2.1175290409100995,8.034114339067887,9.046774441487676,-4.281829704837313
40,7425.113839056977,0.00017347779,0.0001824288,0.002503373,14.989233208363565,-17.694807653171328,3.2325514032327174,10.11306203899063,4.277700887908659,-2.169920424546957,7.260971519614988,10.293769049973369,-4.882253544486319
45,7425.113839056977,2.8356255e-05,0.00028219976,0.0024596758,14.04521999899034,-18.074383252854773,3.760148182152988,11.29482975490306,3.8771462165762296,-2.299120997935473,7.0232172829556,11.073899355957506,-5.280649687094688
